maximum_low_carbon_build_rate,electrification_start_year,electricity_demand_in_2050,average_life_of_low_carbon_generation,renewable_electricity_in_2020,ccs_by_2020,nuclear_change_2012_2020,maximum_low_carbon_build_rate_contraction,maximum_low_carbon_build_rate_expansion,minimum_low_carbon_build_rate,maxmean2050,minmean2050,annual_change_in_non_electricity_traded_emissions,electricity_emissions_during_cb4,emissions_factor_2030,electricity_emissions_absolute_2050
87.0,2023.0,477.0,34.0,0.33572634060694173,4.607008337062902,-28.0,0.555797446456744,0.8552544735333456,0.6138500031227098,2.8758718618298635,0.24848321531008533,-0.005436767563139808,479.44948525054025,0.0,0.0
72.0,2036.0,407.0,59.0,0.25423370038533244,4.976049354095588,-4.0,0.5414616173238045,0.3448615834786608,4.833283539317023,2.4107307246212795,0.46309985460974623,-0.038187074232167266,442.31341546077834,0.0,0.0
97.0,2032.0,370.0,34.0,0.193260976068748,1.2937026967763317,-58.0,0.19874956866960813,0.17797449505024732,2.8581392496199194,2.8676589345352856,0.13858081853235685,-0.022440239001614997,794.3146891185747,238.70251568800327,0.0
78.0,2027.0,623.0,65.0,0.23802910927360696,0.9378408020093365,-41.0,0.3589969653725823,0.8196564402727001,3.3301391882551257,2.8550724761928987,0.31665118717648794,0.00835765871015904,769.8452694975931,4.999735575104039,0.3409231516797499
34.0,2034.0,304.0,40.0,0.14485079329205613,5.423947062295947,-48.0,0.9619660733411863,0.48497444476957774,4.132521045325537,2.3377556291090573,0.4835128339109327,-0.028379091906380265,699.1365614015956,92.11315624965815,0.15494636395926137
72.0,2024.0,615.0,49.0,0.21278214778933305,4.413680340927255,8.0,0.5539106718658265,0.21554385130098458,5.0825057759611365,2.1795765699790657,0.38914358244674785,0.0052082701788319155,727.836379345944,51.110317696181106,0.0
5.0,2032.0,671.0,42.0,0.10378941277739434,4.06121114768268,-40.0,0.354085472588461,0.35512550599804127,3.725849722529355,2.924818488632507,0.39985799034634273,-0.03317366688808467,757.2913193621371,262.43497973558993,187.4185827587624
1.0,2022.0,300.0,43.0,0.08363013316599009,0.9019740100926883,-54.0,0.2239405377565499,0.5206542406771385,1.0312685257814294,1.794094879290554,0.4348492726614478,-0.028857135996305253,846.5318836269605,323.00757334366716,91.51799312451975
67.0,2030.0,587.0,55.0,0.05153076565033174,4.673111376224496,-39.0,0.6867753478910219,0.6564603934067145,9.515848652639123,2.401421319796639,0.3322536728435131,-0.0016891634266350472,695.5582696546718,0.0,0.0
71.0,2028.0,375.0,50.0,0.18625359097520391,1.9967629100478976,-28.0,0.7340090711679492,0.6826980249588304,0.36786073492040805,1.8953511857489445,0.14115071786637168,-0.005001995989363794,750.1162814931654,11.515234633977016,0.0
7.0,2022.0,551.0,25.0,0.10680509108557174,0.38270985390060464,-38.0,0.30465777670179395,0.35883804642927564,5.520183663582278,1.8950200621873563,0.3087893919317629,-0.026546553423866963,818.8311674794023,272.8517273473253,143.8772589438638
81.0,2036.0,363.0,22.0,0.20647833100850652,1.2222251125794799,-13.0,0.9559050273899536,0.20200624922474353,7.546021634398756,2.475198755003863,0.21521635341225182,-0.029976790677040503,615.7791517052735,71.97693413091567,0.0
79.0,2040.0,424.0,28.0,0.30090431016704705,0.24454259562303782,-36.0,0.2153314298768431,0.1314892896765777,0.6395756703310047,1.810412189101566,0.34905342023679087,-0.03806642464165293,585.6086680112063,114.25754574314597,0.0
71.0,2029.0,368.0,52.0,0.23617594718875828,3.3244138415590805,-43.0,0.40468518448955604,0.7616961403468919,9.342624358445402,2.2955492376106337,0.4935206280731922,0.0035801626039477716,638.4601375846751,0.0,0.0
40.0,2027.0,402.0,38.0,0.05373080768265782,3.23706173241359,-15.0,0.8346740672167454,0.4609351194987993,5.465328195497434,2.3662593015464757,0.24417769733688477,-0.02612280935334968,682.8741441644174,77.55302308449282,3.1189248788428663
9.0,2028.0,320.0,30.0,0.29385142127208613,5.229275797929836,-51.0,0.8377121739785456,0.11374276331117507,5.749776311196607,1.8056548203295113,0.4680638987369844,0.0013841414388847811,822.690599902503,193.45276044881044,40.824818512719716
80.0,2025.0,534.0,51.0,0.24067901463267563,4.932467032843011,-22.0,0.2894719417780932,0.6572442500328104,4.914930247011011,1.6409281111573943,0.4093867132526525,0.005522968352359291,641.8074885624186,0.0,0.0
98.0,2025.0,563.0,50.0,0.28673054235992795,2.1926502618819668,-10.0,0.28101720586344164,0.3734261779691882,8.520761416176454,2.2811486038264137,0.1673969763130388,-0.01882739078546172,508.4260334811762,0.0,0.0
30.0,2022.0,653.0,56.0,0.2200432743427001,5.866130006054233,-38.0,0.6020921855835109,0.9703605424858642,5.28642804319321,2.9452224655585697,0.4567705691019287,-0.010814759469390742,708.6467513740885,98.96451899821702,43.60126975318615
60.0,2031.0,472.0,28.0,0.08128805357104374,5.341820091621661,-49.0,0.7673075419654225,0.790437012185759,1.1793843508517652,1.502067041523123,0.24709764525874645,-0.0035718346694234362,902.6975082787952,73.76107082796445,0.0
69.0,2027.0,589.0,55.0,0.0006377654021857138,2.9380092801784805,-11.0,0.28077471210983007,0.5283925366389206,8.1715071384541,2.4561517858659077,0.11798742441482668,-0.002870325710056826,728.0455183206058,11.218763848600005,0.0
30.0,2037.0,661.0,61.0,0.193689420667901,2.3997385140568133,9.0,0.9115543269971906,0.7940004151724732,3.1121363649271774,1.6224266129992868,0.2972791417499599,-0.0026173047515324205,610.2244276913485,21.85222174242072,19.601217410949832
77.0,2033.0,315.0,60.0,0.07258793807531848,2.06592224500765,-15.0,0.6971841099347885,0.9769350191749299,2.016455395280835,1.899799828408366,0.496219674888964,-0.026475476304637015,654.1369129204653,0.2291015216557675,0.0
60.0,2038.0,484.0,54.0,0.15123037527390404,5.8109888586786,-59.0,0.6467343909785613,0.7636891559813113,9.831049907973487,2.453085947824974,0.46151908585557344,-0.011994857891087875,609.1239921370017,0.0,0.0
59.0,2032.0,605.0,48.0,0.2717319365591352,4.627913425354266,10.0,0.8115000596012015,0.18145593457927972,9.341490063844343,2.2081081717947524,0.20279307731549126,0.008799793008065646,675.4249579719501,3.9088410384934966,1.0073521986960612
91.0,2028.0,577.0,68.0,0.33201638680579837,2.8371627848686853,-33.0,0.9781032120839936,0.9887411338491247,5.4464431355311245,2.6777893634927374,0.4565690797997265,-0.02701790688621479,374.6297803567725,0.0,0.0
25.0,2039.0,499.0,46.0,0.29636080557141076,4.23736411824845,-48.0,0.16152264031805036,0.5796276042206965,9.397398381645107,1.744711477635564,0.42879135148435144,-0.015649430458512824,614.0585990723138,61.0890186169379,15.63852780086788
67.0,2021.0,506.0,52.0,0.3047130674394534,3.8324411397044993,6.0,0.6507406317998371,0.16132150106100285,5.545815435271958,1.731716407792082,0.43521231232142377,0.000972940772768903,657.8258171649672,30.337563432234887,0.0
43.0,2021.0,677.0,65.0,0.10269291511995725,5.713945733889419,-11.0,0.8220852757614949,0.9990031090174306,3.9308969605349717,2.8277322924758748,0.3927164897534766,0.0038147926808567226,815.6624124543523,75.2834730886103,29.19714299590461
